route,segment,t,v_ego,long_active,d_rel,co_radar,headway_s,ttc_s,v_lead,plan_src
data,segment_18,12246516859299,5.90625,True,47.92499923706055,True,8.11428558511078,,7.085195064544678,cruise
data,segment_18,12246566502252,5.9116459903730805,True,47.92499923706055,True,8.106879084962939,,7.047389030456543,cruise
data,segment_18,12246616451695,5.90625,True,48.025001525878906,True,8.131217189566799,,7.076472759246826,e2e
data,segment_18,12246664246703,5.921875,True,48.025001525878906,True,8.109762790649736,,7.07045316696167,e2e
data,segment_18,12246716795600,5.921875,True,48.29999923706055,True,8.156200398870382,,7.245565414428711,e2e
data,segment_18,12246766887376,5.9375,True,48.29999923706055,True,8.134736713610197,,7.465935230255127,e2e
data,segment_18,12246816354612,5.94628403014985,True,48.5,True,8.156354414637299,,7.633447170257568,e2e
data,segment_18,12246864425435,5.9375,True,48.5,True,8.16842105263158,,7.601263999938965,e2e
data,segment_18,12246932571841,5.953125,True,48.82500076293945,True,8.201574931307414,,7.644713878631592,e2e
data,segment_18,12246964800328,5.953125,True,48.82500076293945,True,8.201574931307414,,7.712211608886719,cruise
data,segment_18,12247017207464,5.961816095000286,True,49.025001525878906,True,8.223165683858042,,7.918986797332764,cruise
data,segment_18,12247066837658,5.96875,True,49.025001525878906,True,8.21361282108966,,7.926759243011475,cruise
data,segment_18,12247115250488,5.9736681891975065,True,49.25,True,8.244515503733757,,8.063426971435547,cruise
data,segment_18,12247166925956,5.984375,True,49.25,True,8.22976501305483,,8.03090763092041,cruise
data,segment_18,12247217086478,6.0,True,49.625,True,8.270833333333334,,8.547441482543945,cruise
data,segment_18,12247267632180,5.984375,True,49.625,True,8.29242819843342,,8.62984848022461,cruise
data,segment_18,12247316572996,6.0,True,49.974998474121094,True,8.329166412353516,,9.090081214904785,cruise
data,segment_18,12247366736540,6.015625,True,49.974998474121094,True,8.30753221387987,,9.11870002746582,cruise
data,segment_18,12247416552921,6.015625,True,50.224998474121094,True,8.349090655438312,,9.526928901672363,cruise
data,segment_18,12247466189367,6.03125,True,50.224998474121094,True,8.327460886900907,,9.500813484191895,cruise
data,segment_18,12247516598154,6.03125,True,50.70000076293945,True,8.406217743078043,,9.75340747833252,cruise
data,segment_18,12247566400786,6.03125,True,50.70000076293945,True,8.406217743078043,,9.750531196594238,cruise
data,segment_18,12247616259925,6.03125,True,51.150001525878906,True,8.480829268539507,,10.069441795349121,cruise
data,segment_18,12247666207807,6.046875,True,51.150001525878906,True,8.458914981023902,,10.097399711608887,cruise
data,segment_18,12247713506863,6.03125,True,51.150001525878906,True,8.480829268539507,,10.23777961730957,e2e
data,segment_18,12250877057084,6.34375,True,60.57500076293945,True,9.548768593172722,,6.34375,cruise
data,segment_18,12250927912306,6.359375,True,60.82500076293945,True,9.564619284589988,,7.508543968200684,cruise
data,segment_18,12250964473364,6.34375,True,60.82500076293945,True,9.588177460167795,,7.434656143188477,cruise
